target_ratio_alpha,targeted_customers,neslin_profit,emp_approx_profit
0.0,0,-100.0,-100.0
0.01,9,447.831190141113,447.831190141113
0.02,17,1004.6796095300597,1004.6796095300597
0.03,26,1533.304258572562,1533.304258572562
0.04,35,2130.9850585026675,2130.9850585026675
0.05,43,2570.8424060392517,2570.8424060392517
0.06,52,3089.7129836517906,3089.7129836517906
0.07,61,4035.3562554207074,4035.3562554207074
0.08,69,4861.413668312404,4861.413668312404
0.09,78,5439.524702401327,5439.524702401327
0.1,87,6214.6559860662055,6214.6559860662055
0.11,95,7125.752328880839,7125.752328880839
0.12,104,7730.114646408238,7730.114646408238
0.13,113,8384.001946272067,8384.001946272067
0.14,122,8774.912657623609,8774.912657623609
0.15,130,9366.573649788406,9366.573649788406
0.16,139,9854.73746579573,9854.73746579573
0.17,148,10531.321618251231,10531.321618251231
0.18,156,10805.98857614554,10805.98857614554
0.19,165,11066.094052180233,11066.094052180233
0.2,174,11816.575785089504,11816.575785089504
0.21,182,12201.068864935527,12201.068864935527
0.22,191,13447.558311775112,13447.558311775112
0.23,200,14654.941185408105,14654.941185408105
0.24,208,15692.389450569302,15692.389450569302
0.25,217,17019.92668896998,17019.92668896998
0.26,226,18058.047734941494,18058.047734941494
0.27,234,19537.99818089268,19537.99818089268
0.28,243,37468.888996108086,37468.888996108086
0.29,252,39482.72711528106,39482.72711528106
0.3,260,40958.22693181521,40958.22693181521
0.31,269,53435.43339330696,53435.43339330696
0.32,278,55696.596050984765,55696.596050984765
0.33,286,58429.56523900191,58429.56523900191
0.34,295,59657.06941304823,59657.71451107577
0.35000000000000003,304,59656.06648944087,59662.29962346539
0.36,312,59662.51999795331,59672.99761992551
0.37,321,59678.86903681622,59689.3466587884
0.38,330,59845.16523963443,59860.03708298219
0.39,339,59976.46034049017,59991.88530253146
0.4,347,60070.27575560722,60085.700717648506
0.41000000000000003,356,60173.75228227356,60189.17724431485
0.42,365,60249.04073271349,60264.46569475479
0.43,373,60347.66637806991,60363.0913401112
0.44,382,60404.85060010818,60420.275562149465
0.45,391,60596.57472025552,60611.99968229681
0.46,399,61049.407105909515,61064.83206795082
0.47000000000000003,408,61229.62828285958,61245.05324490085
0.48,417,61510.60795028459,61526.03291232588
0.49,425,61580.43833094091,61595.86329298219
0.5,434,61785.417585374686,61800.842547415974
0.51,443,61813.82801385214,61829.25297589343
0.52,451,61862.56242802279,61877.98739006408
0.53,460,61948.74577205347,61964.17073409476
0.54,469,62077.974228764826,62093.39919080613
0.55,477,62143.255857412296,62158.680819453584
0.56,486,62491.43041265914,62506.855374700426
0.5700000000000001,495,62712.88047314061,62728.3054351819
0.58,503,62822.3284251258,62837.7533871671
0.59,512,63025.0721492134,63040.49711125469
0.6,521,63287.643977523694,63303.06893956498
0.61,529,63627.82528247639,63643.25024451768
0.62,538,63763.10410870257,63778.52907074387
0.63,547,63924.28311910242,63939.70808114371
0.64,556,64107.478132991586,64122.903095032874
0.65,564,64225.96713054823,64241.39209258952
0.66,573,64598.5531938918,64613.97815593309
0.67,582,65033.704276262375,65049.12923830367
0.68,590,65357.31529789568,65372.740259936974
0.6900000000000001,599,65653.40443918138,65668.82940122268
0.7000000000000001,608,65886.14480022287,65901.56976226417
0.71,616,66142.78481268015,66158.20977472146
0.72,625,68922.65968962296,68938.08465166426
0.73,634,69176.8585584729,69192.2835205142
0.74,642,69479.50195775708,69494.92691979837
0.75,651,69746.68759614635,69762.11255818764
0.76,660,69928.6695012246,69944.09446326591
0.77,668,70044.40910824134,70059.83407028264
0.78,677,70217.58293630637,70233.00789834766
0.79,686,74577.66251707538,74593.08747911667
0.8,694,74689.59883399386,74705.02379603515
0.81,703,74828.75717523758,74844.18213727887
0.8200000000000001,712,75065.18019280455,75080.60515484583
0.8300000000000001,720,75161.05715056317,75176.48211260446
0.84,729,75270.97843517756,75286.40339721885
0.85,738,75391.93187780546,75407.35683984675
0.86,746,75506.64797474843,75522.07293678971
0.87,755,75617.35568031971,75632.780642361
0.88,764,75728.08235064171,75743.507312683
0.89,773,76013.25927098418,76028.68423302547
0.9,781,76162.36384015123,76177.78880219252
0.91,790,76478.80730453231,76494.2322665736
0.92,799,76769.51603066298,76784.94099270427
0.93,807,76968.44639079945,76983.87135284075
0.9400000000000001,816,77534.40802420069,77549.83298624196
0.9500000000000001,825,78104.61573602982,78120.0406980711
0.96,833,78384.5203964685,78399.94535850978
0.97,842,78910.14785906131,78925.5728211026
0.98,851,79378.85631820242,79394.28128024371
0.99,859,79604.03324351658,79619.45820555786
1.0,868,81047.81466753277,81063.23962957406
