dataset,model,imbalance,auc_roc,pr_auc,top_decile_lift,train_rows,test_rows,source
Online,RandomForest,class_weight,1.0,1.0,2.9931034482758623,3470,868,Online Retail
Online,LightGBM,class_weight,1.0,1.0,2.9931034482758623,3470,868,Online Retail
Online,RandomForest,SMOTE,1.0,1.0,2.9931034482758623,3470,868,Online Retail
Online,XGBoost,SMOTE,1.0,1.0,2.9931034482758623,3470,868,Online Retail
Online,LightGBM,SMOTE,1.0,1.0,2.9931034482758623,3470,868,Online Retail
Online,XGBoost,class_weight,1.0,0.9999999999999999,2.9931034482758623,3470,868,Online Retail
Online,LogisticRegression,class_weight,0.9985025653263333,0.998375032705677,2.9931034482758623,3470,868,Online Retail
Online,LogisticRegression,SMOTE,0.9965397923875433,0.9976696991836831,2.9931034482758623,3470,868,Online Retail
Telco,XGBoost,class_weight,0.8365153154459003,0.6527993868466242,2.7214700193423598,5625,1407,Telco
Telco,XGBoost,SMOTE,0.8363833080534864,0.6419977211755923,2.7214700193423598,5625,1407,Telco
Telco,LogisticRegression,class_weight,0.8350464096577646,0.6195799745564079,2.6681078621003524,5625,1407,Telco
Telco,LogisticRegression,SMOTE,0.8338661082667687,0.6198662446806914,2.641426783479349,5625,1407,Telco
Telco,LightGBM,class_weight,0.830299320291348,0.6447941363664106,2.8281943338263735,5625,1407,Telco
Telco,LightGBM,SMOTE,0.8293584440728681,0.6425372159978316,2.8281943338263735,5625,1407,Telco
Telco,RandomForest,SMOTE,0.8200609822385347,0.6007658663761901,2.6147457048583456,5625,1407,Telco
Telco,RandomForest,class_weight,0.8111595425814434,0.5946613260347963,2.6147457048583456,5625,1407,Telco
